objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,alphabet_candy_wrapper.jpg,,,Alphabet Candy Wrapper,Kayla Rankin,12/6/2016,This handmade origami alphabet is made out of Dum Dum wrappers. This art piece was made in a new media and design class at UNCG during my undergrad.,Create the alphabet using mix media. ,"Greensboro, NC",,,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,animal_crossing_coaster_1.jpg,,,Animal Crossing Coaster 1,Kayla Rankin,2022,(4) Coasters of animal crossing characters made out of resin in a varitety of mold shapes.,resin practice. ,"Raleigh, NC",,,,,Image;StillImage,image/jpg,eng,,
coll003,animal_crossing_coaster_2.jpg,,,Animal Crossing Coaster 2,Kayla Rankin,2022,(4) Coasters of animal crossing characters made out of resin in a varitety of mold shapes.,resin practice. ,"Raleigh, NC",,,,,Image;StillImage,image/jpg,eng,,
coll004,faces.jpg,,,Faces,Kayla Rankin,2015,a mixed-media painting of multiple faces showing different expressions.,personal project,"Cape Coral, NC",,,,,Image;StillImage,image/jpg,eng,,
coll005,food_truck_poster.jpg,,,Food Truck Poster,Kayla Rankin,2016,a food truck poster of advertisement made in illustrator ,adobe practice; client practice ,"Greensboro, NC",,,,,Image;StillImage,image/jpg,eng,,
coll006,plaster_legs.jpg,,,Plaster Legs,Kayla Rankin,2014,leg molds made out of plaster strips; photograph,sculpture project,"Dekalb, IL",,,,,Image;StillImage,image/jpg,eng,,
coll007,queen.jpg,,,Queen,Kayla Rankin,2019,a mixed-media painting of a portrait of a woman made of acrylic paint and recycled jewelry.,personal project,"Apex, NC",,,,,Image;StillImage,image/jpg,eng,,
coll008,space_face.jpg,,,Space Faces,Kayla Rankin,8/14/2014,"a mixed-media painting made of acrylic paint, pastel, colored pencil, and ink of a woman surrounded by planets ",personal project,"Cape Coral, NC",,,,,Image;StillImage,image/jpg,eng,,
coll009,wooden_harp.jpg,,,Wooden Harp,Kayla Rankin,2014,my impression of a harp made out of wood; wire; metal; beading; and paint. ,sculpture project,"Dekalb, IL",,,,,Image;StillImage,image/jpg,eng,,
coll010,yarn_portrait.jpg,,,Yarn Portrait,Kayla Rankin,2017,a portrait of a woman made out of mixed materials but mostly yarn. ,part of my capstone project. ,"Greensboro, NC",,,,,Image;StillImage,image/jpg,eng,,
